Location,lat,lon
keele and bloor,,
dovercourt and dupont,,
finch and e of wilming,,
lawarence and weston r,,
sherbourne and gerrard,,
fisherville and bathur,,
black creek and weston,,
midland and romulus,,
finch and cherokee,,
161 deerhide crescent,43.74643,-79.534
queensway and high str,,
rodgers and forbes,,
hospital rd and wellne,,
mccowan and invergordo,,
wellesly and sherbourn,,
avenue and glengrove,,
queen and jones,,
dufferin and wilson,,
kingston and morningsi,,
driftwood and cobbler,,
bathurst and st. cleme,,
avenue and lawrence,,
kennedy and s of shepp,,
overlea and thorkcliff,,
don mills and n of egl,,
york mills and dvp exi,,
runnymede and st johns,,
mcnicoll and warden,,
rogers and weston,,
lansdowne and lapin,,
st clair and pharmacy,,
steeles and weston,,
lake shore and fortiet,,
scarb golf club and la,,
finch and w of milvan,,
islington and golfdown,,
raab blvd and wellness,,
norwin and drewry,,
kipling and kidron,,
pearson airport - term,,
cosburn and pape,,
royal york and lakesho,,
parliament and gerrard,,
eglinton and spadina,,
yorkdale and yorkdale,,
thorncliffe and overle,,
dufferin and glencarin,,
queens quay and bay,,
transway cres and egli,,
ossignton and lawrence,,
dufferin and bridgelan,,
vaughan and oakwood,,
warden and glenbourne,,
sheppard and malvern,,
st clair and yonge,,
sheppard and arrow rd,,
islington and the quee,,
jane and woolner,,
wilson and bishop,,
islington and steeles,,
kipling and rexdale,,
oakwood loop,43.6806353,-79.435529
the queensway and nort,,
cummer and leslie,,
st. clair and birchmou,,
dunford and durness,,
keele and finch,,
islington and dixon,,
finch and keele,,
wilson and dallner rd,,
keele and the pond,,
dufferin and davenport,43.6588308,-79.4362983
o'connos dr and st cla,,
martin grove and bette,,
garnett janes and birm,,
oakwood and st clair,,
windermere and coe hil,,
eglinton and mt. pleas,,
bathurst and dupont,,
mcnicoll and harold ev,,
richmond and church,,
runnymede and colbeck,,
starthmore and coxwell,,
mill road loop,,
carlaw and eastern,,
jane and falstaff,,
pioneer village subway,43.7765109,-79.5085476
weston and lawrence,,
st. clair and kingston,,
roywood and fenside,,
queens park and joseph,,
davenport and dupont,,
avon loop,43.6812156,-79.4768718
victoria park and king,,
mclevin and tapscott,,
finch and oakdale,,
royal york and norsema,,
lawrence and starspray,,
consilium and corporat,,
pharmacy and mcnicoll,,
finch and driftwood,,
dundas and west mall,,
jane and pritchard,,
eglinton and kipling,,
giltspur and magellan,,
grenoble and grenoble,,
dufferin and springhur,,
carlaw and dundas,,
finch and 400,43.7572632,-79.5176734
bathurst and roselawn,,
wilson and lady york,,
queens quay w and yong,,
wellington and york,43.6423809,-79.4034538
yonge and college,43.6608087,-79.3849397
steeles loop (yonge an,,
grenoble and deauville,,
danforth ave and danfo,,
st clair and mariposa,,
jane and bloor,,
dawes and ferris,,
606 dawes rd,43.7068469,-79.2955293
industry and mount den,,
yonge and davenport,,
canarctic and keele,,
eglinton and leslie,,
emmett and verona,,
islington and bergamot,,
caledonia and innes,,
lawrence and underwrit,,
highway 27 and dixon,,
ravel and rameau,,
scarlett and lawrence,,
caledonia and lawrence,,
leslie and finch,,
woodsworth and bannaty,,
pine and wright,,
jane and maple leaf,,
finch and neilson,,
sheppard and lomar,,
freshmeadow and don mi,,
