Location,lat,lon
willowdale and silverv,,
york mills and 401,,
macdonnell and seafort,,
jane and gilltspur,,
moore and brendan,,
broadview and woodvill,,
steeles avenue east lo,43.8126778,-79.3539292
strachan and fleet,,
400 danforth,43.6777703,-79.3516273
yorkdale terminal,43.7251884,-79.4490651
islington and bloor we,,
u of t loop,,
sheppard east and hero,,
485 danforth road,43.7442014,-79.2448116
danforth and winter,,
oakwood and canyon,,
o'connor and gardens c,,
dunfield and eglinton,,
broadview and gerrard,,
hyw 27 and dixon,,
weston and bird stone,,
gerry fitzgerald drive,43.7844926,-79.4728464
kipling station (bus e,,
bloor and brule terrac,,
weston and st. clair,,
airport and highway 42,,
westen rd and st phill,,
humberwood and moring,,
queens park and charle,,
pearson airport - t3,,
bayview and blythworth,,
carlingview dr and dis,,
427 dundas ramp,,
midland at lawrence,43.7513056,-79.2648768
keele and floral,,
victoriapark station,,
humberwood bus loop,,
finch station - offloa,,
bombay loop at avenue,43.7436099,-79.4242113
roayl york station,,
york mills station - e,,
lakeshore and marine,,
shorecliffe and north,,
dupont and palmerston,,
eglinton and oriole pk,,
lawrence and saguenay,,
renforth and mississau,,
greenwood shop,,
dundas w and subway cr,,
mississauga transitway,43.667521,-79.5865002
utsc,43.7851882,-79.1893305
5060 sheppard ave east,43.7938165,-79.2422931
ashtonbee and warden,,
bayview and wood,,
york mills rd and yong,,
3304a danforth ave,43.69332,-79.27985
dupont and symington,,
cordova and islington,,
jane and homeview,,
west humber blvd at ma,,
triton and bourough,,
guildwood parkway,43.7468747,-79.2016741
route hill go station,,
pharmacy and shangarry,,
sheppard and vitti st,,
steeles and signalhill,,
coe hill and queenswa,,
parliamant and mill,,
the queensway and park,,
south queensway and or,,
yonge and queen's quay,,
brimley and danforth r,,
kingston and dundas st,,
birchmount s of mcnico,,
lumsden and oak park,,
eastern s of queen,,
toronto zoo loop - 200,,
finch e of dufferin,,
brimely and lawrence,,
dufferin and sylvan av,,
srarborogh town centre,,
sentinel and bowsfield,,
albion and amel ct,,
wilson and garrett,,
commissioners and don,,
parliment and wellesle,,
kingston and eli shack,,
hwy 401 and dufferin,,
jane and outlook ave,,
dufferin and lappin,,
gardiner east of garri,,
bloor - dufferin to br,43.6600098,-79.4347006
huntingwood and dunmur,,
lawrnce and starspray,,
trethewey and caledoni,,
kennedy and progess,,
martin grove and smith,,
westway and martin gro,,
keele and milford,,
steeles and dairis,,
antibes and bathust,,
pape and milwood,,
bathurst and king,,
kennedy and bonis,,
front and wellington,,
keele and finch west,,
sheppar and shaughness,,
martingrove and dixon,,
finch and red robinway,,
finch and senca hill,,
finch and liszt,,
sherbourne and wellsel,,
ridgecrest and major m,,
middlefield loop (stee,,
king and triller,,
yonge and byng,,
mount pleasant and moo,,
eglinton and willowrid,,
finch and glenborough,,
midland and huntingwoo,,
ellesmere and dewey,,
mccowan and bridley,,
wilson yard carhouse (,,
brockport and belfield,,
the westway and sun ro,,
general delay,,
carluke fifeshire,43.7599259,-79.3895981
pharmacy and christina,,
kingston and brimely,,
yonge and saudan,,
greenwood and torbrick,,
st. clair and spadina,,
wallsend and coronatio,,
rogers and bicknill,,
york mills and birkdal,,
marlee and whitmore,,
sheppard and william r,,
parkwood village and f,,
dufferin and jane osca,,
queen's quay and freel,,
gunn building 2nd floo,,
28 colonel samuel smit,,
kipling and aukland,,
weston and verobeach,,
the east mall and gord,,
harbord and st george,,
birchmount and denison,,
jane and foxwell (nort,,
esplanade between chur,,
glen and south,,
humber college between,,
john garland and humbe,,
huntingwood and prince,,
humbercollege terminal,,
eglinton and elmsthorp,,
kingston and overture,,
runnymede and maher,,
middlefiled and steele,,
midland and and silver,,
coronation dr and chem,,
audley and newcastle,,
brokmere and kipling,,
landsdowne and st clai,,
dufferin and bloor (n,,
calendonia and innes,,
throncliffe and overle,,
easternand queen,,
oakwood and reggae lan,,
dundas and mabel,,
5005 dundas st w,43.6461293,-79.5306151
scott and esplande,,
humberwood boulevard,43.7207517,-79.6126886
yorkdale rd at go term,43.7259463,-79.448834
mccowan n of sheppard,43.7898592,-79.258586
427 and burnamthorpe,,
st philips and weston,,
finch east and warden,,
eglinton west and tarl,,
jane and corbett,,
eglinton west and old,,
391 alliance building,,
spadina and queens qua,,
gower and dawes,,
dawes and beth,,
lakeshore and brownsli,,
1 sibley,43.6904114,-79.2926242
front and spadina,,
steeles west and found,,
staines and finch,,
rathburn and martin gr,,
king west and jarvis,,
st clair west and flor,,
eglinton and times,,
st phillip and dixon,,
townsend and freashmed,,
weston and glenvalley,,
eglionton west station,,
finch east and baldoon,,
steeles and east loop,,
140 rusholme road,43.6536222,-79.4285442
eglinton and highbour,,
lester b. pearson airp,,
renforth bus terminal,,
401 and avenue (west o,,
harold evans and tempo,,
centennial bus termina,,
new castle and audley,,
unwin and leslie,,
kennedy station - 0731,43.7318344,-79.2639051
elm and maple,,
york mills and cedar w,,
3555 don mills road,43.7942937,-79.3543818
eglinton west and rich,,
towsend and freshmeado,,
markham and lawrence e,,
victoria park and pach,,
terminal 3 arrivals,,
islington and norsemen,,
lascelles and eglinton,,
ex loop,43.7292546,-79.2155819
carlaw and queen east,,
sentinel and cook,,
markham and 14th ave,43.6477704,-79.4055242
1901 eglinton avenue e,43.725668,-79.2934854
leaside bridge,43.6987102,-79.3501708
steeles and victoira p,,
bathurst and elmridge,,
lake shore and tenth,,
kingston rd and living,,
morningside crossing,43.770492,-79.1850912
finch and hwy 400,,
newcastle and audley,,
neilson s of mclevin,,
broadview and fulton a,,
lawrence and the bridl,,
coxwell s of lower ger,,
steeles and capstan,,
warden and murray glen,,
thorncliffe pk w s of,43.704553,-79.3454074
kenndey and progress,,
martin grove and dosco,,
keele and canarctic,,
north queen and shornc,,
mcnicoll and stonebrid,,
don mills and moatfiel,,
bowden and fairview,,
kingston rd and warden,,
martin grove and ronso,,
maple leaf and venice,,
islington and hilldown,,
sheppard and tuscan,,
person terminal 1,,
morningside and oasis,,
all vision vehicles,,
military loop,,
terminal 1 pearson,43.6424461,-79.4447644
landsdowne and bloor,,
rogers and blackthorn,,
sheppard and gorman pa,,
jane and macdonald,,
carlingview and disco,,
disco and carlingview,,
yonge and pleasant blv,,
dufferin and rowan,,
amazon fufillment cent,,
markham and ellesmereh,,
steeles at wagonwells,,
amazon fullfilment cen,,
pond and ian macdonald,,
concorde pl and mcdona,,
finch and signe,,
maple leaf and black c,,
runnymeade station,,
steeles and ashcott,,
parkview hill and aspe,,
roger and keele,,
roger and scott,,
kinston road and old k,,
midland and park,43.7516076,-79.2652374
kipling and burningham,,
lansdowne and lane nor,,
salter and commissione,,
yorkdale stn,,
pharmacy and dewey (so,,
bridle walk and major,,
thrthewey and jane,,
sheppard and twyn rive,,
the queensway and wind,,
dundas and prince edwa,,
mccowan and highway 40,,
coxwell and lower gerr,,
southwood and williams,,
lawrence ave west,43.7247181,-79.4040694
jane and troutbrooke,,
murray ross and haynes,,
o'connor and beechwood,,
queensway divsion,,
duncan mill and lesmil,,
common wealth and egli,,
runnymede and john,,
staines and rivendell,,
victory crescent and m,,
roguee hill go station,,
greenwin village and s,,
arboretum and ian macd,,
5800 yonge,43.7846826,-79.4176298
4081 dufferin,43.7589148,-79.4645726
borough and triton,,
jane and fingrove,,
eglinton west and enne,,
finchdene square and t,,
brimely and ellesmere,,
danforth ave and macey,,
weston and avon,,
yonge and colborne,,
drewry and yonge,,
highway 27 and albion,,
2 jane street,43.6494244,-79.4847054
islingtn and princess,,
bathurst and st. clair,,
morningstar and humber,,
heron's hill way,,
yonge and poyntz,,
dixon and kelfeild,,
jane and raymond,,
glen and douglas,,
marine parade and wate,,
dufferin and thornberr,,
albion and carrier,,
commissioners and carl,,
kingston and midland,,
dufferin and florence,,
dufferin and gerry fit,,
willisam r allen and r,,
sherppard and mccowan,,
cennennial college bus,,
canmore and conlins,,
parliament and carleto,,
lawrence and bridle pa,,
bay and elm,,
sherway and sherway ga,,
linsmore and danforth,,
harbour and bay,,
u of t scarborough cam,,
wineva and isleworth,,
king west and spadina,43.6411283,-79.4169894
wineva ave,43.6730044,-79.29659
sheppard and torbarrie,,
chester station,43.6782277,-79.3525143
104 littleleaf drive,43.80239,-79.23374
o'connor and bermondes,,
130 arrow rd,43.74462,-79.53218
esplande and jarvis,,
jones and myrtle,,
mclevin and morningsi,,
steeles east and towns,,
kipling and queenwsay,,
dufferin and bloem,,
mccowan road,43.780054,-79.254529
commissioners and salt,,
markham and verna,,
lawrence east and ward,,
mount dennis div - emp,,
donlands and mortimer,,
laird and kenrae,,
welland and st clair,,
mount castle gate and,,
highway 7 and pine val,,
parkwood village dr an,,
lake shore garage,43.6561768,-79.3302188
o'connor and yardley,,
kingston road and milt,,
dundas and hawland,,
bathurst and ranee,,
eglinton and cedar dri,,
wilson and ridley blvd,,
danforth and barringto,,
pearson international,,
george and esplanade,,
parkwood village and v,,
mcnicholl and kennedy,,
suncrest and bridlepat,,
1417 birchmount,43.7525,-79.2865
beecroft and harlandal,,
clareport and albion,,
adelaide and universit,,
birchmount and micro,,
barkdene and gradwell,,
howard moscoe ave (pio,,
jane and lawrernce,,
pearson airport t3,,
runnymede station (ken,,
bathurst and edinburgh,,
finch and neilson rd,,
weston and coulter (22,,
emmett and south of ve,,
eglinton and swift,,
keele and grandravine,,
123 queensway drive,43.6403331,-79.5047957
"leslie, north york",43.7710725,-79.365634
queen and ontario,43.6468606,-79.4050082
weston and bradmore,,
grandreavine and derry,,
steeles and miliken,,
davenport and mcalpine,,
highway 400 and wilson,,
eglinton and winnet,,
mingay and castlemore,,
caledonia and bowie,,
linsmore and strathmor,,
emmett loop,,
munro and gerrard,,
murray rose parkway an,,
mccowand and 16th,,
castllemore and bridle,,
westwood bus terminal,,
lawrence and blackcree,,
sheppard & warden to s,,
royal york and colwood,,
danforth rd and warden,,
york mills station - 1,,
clanmore and warden,,
danforth and horton,,
warden - bus bay 5,,
birchmount and harvest,,
wilson station (upper,43.7349317,-79.4510828
danforth rd and magnol,,
don mills station bus,43.7758147,-79.3463477
eglinton west - bus ba,43.7154557,-79.3549391
finchdean square,,
the east mall and rath,,
greenwood and mountnoe,,
queen's park circle,,
mclevin and alford,,
weston and st philips,,
39 erindale avenue,43.6774743,-79.3573143
eglinton and springhur,,
weston rd and oxford,,
kingston road and morn,,
weston rd and reuben,,
harboard and grace,,
rogers rd and rockclif,,
the pond rd and sentie,,
humber college and arb,,
lakeshore and eighth,,
wilson car house,,
adelaide and bathurst,,
gunn building - 3rd fl,,
brimely and omni,,
warden and finch east,,
lawrence and william a,,
rogers and claedonia,,
lawrence and prudentia,,
sheppard and buchan,,
bathurst and monclair,,
faywood and rineer,,
princes margaret and m,,
liberty and queen,43.6416751,-79.4116348
glencairn and dalemoun,,
cordova and central pa,,
gardiner and jameson,,
danforth rd and davids,,
steeles loop w of mart,,
meadowval loop,,
wilson garage b,,
warden and gibson,,
allness and steeles,,
kipling and dundas st,,
midland and latham,,
oak and knob hill,,
tangiers and keele,,
lawrence west and lori,,
yonge and steeles east,,
gerrard and main,,
ormskirk and ripley,,
rexdale - steeles on i,,
secord and barrington,,
solane and elvaston,,
hwy 427 and south of e,,
bloor and colborne lod,,
shappard and yonge,,
attwell ande carlingvi,,
mccowna and ellesmere,,
eglinton and leslie (e,,
kennedy and landseer,,
progress ave (at cente,,
college street - unive,,
finch east and millike,,
danforth rd and savari,,
kipling (john garland,43.7354642,-79.5787327
cosborn and greenwood,,
disco and brockport,,
bathurst and clarke,,
sheppard and meadovale,,
don mills and underpas,,
wellseley and st nicho,,
dundas w and prince ed,,
grand and manitoba,,
cne loop - princes gat,,
kiplng and goswell,,
steeles and gaudaur,,
duncan mills and grayd,,
hwy 401 and keele,,
davisville,43.697936,-79.3972908
kingston and collingsg,,
victoria park and more,,
danforth and eastwood,,
kingston and morrish,,
o'connor and northbroo,,
yonge and patricia ave,,
warden and danforth rd,,
wilmington and maxwell,,
old kingston and highl,,
welland and moore,,
islington and new toro,,
woodbine and springdal,,
east and kirkdean dr,,
finch west station - u,,
triton and borrow dr,,
st clair and selwyn,,
grandravine dr and gra,,
markham and n of hwy 7,,
sheppard east and leon,,
islington and central,,
1035 sheppard west,43.74993,-79.46265
sheppard east and ecop,,
don mills staton,,
eas and maberley,,
dufferin and n of dave,,
keele and guliver,,
brimley and larkhall,,
sheppard and maeadowva,,
the pond road and keel,,
neilson,43.6314655,-79.5671328
front and church,,
danforth road and midl,,
danforth and jones,,
ferris and glenburn,,
islington and lake sho,,
sheppard and kenneth,,
lawrence and collinsgr,,
27 st albans rd,43.6376161,-79.5355081
promenade mall,,
meadowvale and lavery,,
marine parade and shor,,
colonel samuel smitth,,
islington - btwn satte,,
egllinton and cedar br,,
islington and westway,,
thistle and bentwick,,
rougeside promenade an,,
7 springhurst avenue,43.6345904,-79.4263992
wright ave and pine st,,
pearon airport,,
kipling and clement,,
greenwin village rd an,43.7916068,-79.4445088
woodbine race track bu,,
101 tapscott rd,43.8181795,-79.2397433
steeles and highwat 27,,
rexdale and tidemore,,
morningside anf nights,,
wilson statiobn,,
cherry beach loop- 255,,
o'connor and glebemoun,,
church st north of wes,,
mccowan and hwy 7,,
eglinton and reforth,,
400 danforth ave,43.6777703,-79.3516273
donlands and baltic,,
lawrence and apex,,
islington: - rexdale t,43.7152419,-79.5552661
kenendy and bertrand,,
rexdale - bergamot,43.71385,-79.5596684
100 flemingdon park -,43.7184315,-79.333204
25 don mills - the ent,,
925 don mills express,,
bayview and holmes,,
mill rd and rathburn,,
bathurst and old orcha,,
taqpscott and finch,,
pekham and goulding av,,
runneymede station,,
martin grove road and,,
wellesley and bay,43.6608087,-79.3849397
6610 finch ave w,43.73473,-79.6007
897 castlefield ave,43.7029136,-79.4416306
ellesmere and calthrop,,
wright and pine,,
bathurst and codsell a,,
lawrence and brimely,,
birchmount and ivy bus,,
kingston and collinsgr,,
steeles and 400,43.7566739,-79.6077571
st clair and tweedsmui,,
victoria and stamford,,
wilson and wendall,,
yonge and steele,,
kipling and warnica,,
royal york and country,,
harbord and bathurst,,
lawrence and ling,,
pape between cosburne,,
danforth and seminole,,
weston rd and st phill,,
danforth and hart,,
eglinton and barbados,,
danforth rd and miland,,
fort york and bathurst,,
east mall and east mal,,
weston and cardell ( s,,
parkwoods and gailong,,
ellemere and kennedy,,
hldon ave and cosburn,,
10 danforth road,43.6937923,-79.2773468
tretheway and paulson,,
attwell dr and farnbor,,
browns line and woodbu,,
sherway gardens malls,43.6118845,-79.557785
1535 eglinton avenue.,43.69748,-79.44085
liberty and pardee ave,,
princes' gate and cana,,
bloor and broadview,,
broadview and victoria,,
queen's park and hoski,,
bridle path,43.7353996,-79.370883
cowell and plains,,
lawrence and bridlepat,,
eglinton west and chil,,
signal hill avenue and,,
2455 eglinton avenue,43.73249,-79.26399
hilda and fontainbleau,,
kennedy and highway 40,,
queens park and hoskin,,
bathurst and ridge,,
craighton and victoria,,
warden and firvalley,,
bathurst and neptune d,,
2720 york regional rd,,
steeles and eastvale r,,
martin grove and 401,,
surrey and victoria pa,,
shaw and dupont,,
horner and belvia,,
deauville and st. denn,,
dufferin and bloor wes,,
mcnicoll and placer,,
warden and cataraqui,,
jane and dennison,,
kipling and finch west,,
sheppard east and king,,
dufferin and north of,,
westmall and dundas,,
lawrence anb midland,,
queenway garage,,
scafraborough twon cen,,
chaplin and oriole,,
birchmount and ellemer,,
finch staion,,
biscayne and pharmacy,,
3131 bridletowne circl,,
kingston road and popl,,
finch and scottfield,,
eglinton west and glen,,
8304 sheppard ave e,43.8042678,-79.1902576
esplanade (between she,,
eglinton east and dunf,,
beechgrove and lawrenc,,
neilson and oak meadow,,
tangiers and n of finc,,
rathburn and the west,,
4218 lawrence avenue,43.76935,-79.18466
516 pharmacy avenue,43.70552,-79.28939
neilson and oakmeadow,,
lawrence and greenced,,
st clair and wells hil,,
bayview and country,,
highland creak and kin,,
tournament and the lin,,
lord seaton and upper,,
flemington and ranee,,
bathurst and bedford,,
bathurst and viewmount,,
kipling and racine,,
5639 yonge street,43.7806995,-79.4155889
113 valley woods road,43.7593916,-79.3324152
rivalda and sheppard a,,
69 craydon avenue,43.6912024,-79.4956929
queen and manstor,,
maybrook and mcnicoll,,
guildwood and guild in,,
bloor and old mill ter,,
yonge and elm,,
yonge and roselawn,,
100 conslium place,,
sherbourne richmond,43.6528724,-79.3687522
lawrence and west hill,,
eglinton west - 59 pla,,
gardiner expwy and jam,,
3280 bloor street west,43.6452529,-79.5223664
yyz terminal 3,,
midland and dorcot ave,,
york mills and glenrid,,
steeles and bluffwood,,
mount pleasant and mil,,
steeles and walkway,,
kipling at eglinton,43.6770509,-79.5506073
coxwell and earl haig,,
eglinton and chaplin c,,
jane and maple,,
bloor and ashborne,,
ellesmere and varden b,,
glencairn,43.7086497,-79.4406853
yorkdale station(go te,,
greenwood shops,,
dynamic and nashdene,,
midlefield and steeles,,
warden station (902 tu,,
finch and humberwood,,
broadview and mortimor,,
victoira park and park,,
o'connor and sunrise,,
scarlett and larose,,
lockerbie and queensle,,
danforth and landry,,
landowne and bloor,,
adelaide and duncan,,
scarlett road route,,
kiplimg station,,
hwy 27 and rexdale,,
fimch station,,
galaxy and internation,,
ellersmere and kennedy,,
bayview and hillcrest,,
mccowan and corprate,,
concord place loop,,
finch and torredale,,
eglinton and burmundsy,,
ellesmere and saratoga,,
spadina and dupont,,
broadview and montcres,,
dynamic and passmore,,
coxwell and eastern av,,
dundas and spadina,43.6497546,-79.4169916
dufferin and melborne,,
yonge between sherwood,,
yonge and turnberry ct,,
avenue and edmund,,
prince edward and glen,,
brimley and brimwood,,
finchdene and n of fin,,
steeles and laurleaf,,
old mill stawton,,
leslie and lakeshore,,
woodbine and norway,,
mount pleasant and bro,,
lawrence west route,,
985 caledonia road,43.70879,-79.46563
dufferin and dollomite,,
parklawn and qew,,
yonge and s of eglinto,,
lawrence and wesxford,,
greenholm and markham,,
morningstar and milita,,
yonge and horsham,,
warden and denison,,
markham and rochman,,
kennedy and sheppard e,,
2406 dufferin st.,43.69696,-79.45128
sewels and brenyon,,
meadowvale and generat,,
80 galaxy boulevard,43.68071,-79.58819
kingston road and amie,,
dundas and willard ave,,
william r allen and tr,,
marting grove and rexd,,
sheppard and haavenvie,,
esplanade and jarvis,,
overlea and thorneclif,,
gerry fitzgerald ans s,,
huddersfield and clair,,
hinton btwn harefield,,
lawrence and duvar,,
cordova and maybelle,,
queensway and vansco,,
4101 yonge street,43.7456516,-79.4068424
midland and st clair,,
richmond and bay,,
sheppard east and wilf,,
dufferin,43.6602397,-79.435396
eglinton station entra,,
annette and high park,43.6613668,-79.4731219
jones and lane north q,,
malvern and sheppard,,
merchant and bayview,,
wilson ave and wilson,,
wilson heights and wil,,
bayview and bayview ri,,
bayview york mills,43.7471841,-79.3846424
lynvalley and victoria,,
gerrard and osburn,,
eglinton west and cast,,
bermondsey and mobile,,
gerrard east and malve,,
upjohn and york mills,,
spadina and sussex,,
mccowan and channel ni,,
adelaide and charlotte,,
albion and clairport,,
queen and close,,
1 eglinton ave,43.7066064,-79.3977828
weston and steeles wes,,
st. clair and old west,,
the queensway and elli,,
kipling and beacon hil,,
murray ross parkway,43.7666879,-79.4937642
scarborough centenary,43.7810872,-79.2054396
bayview and evergreen,,
viking ln and kipling,,
the west mall and well,,
royal york and west ma,,
warden loop @ steeles,,
college and yonge,43.6608087,-79.3849397
gary and portage,,
eglinton east and bren,,
black creek division,,
kennedy and malta,,
sheppard east and shor,,
hilda and fountianblea,,
greenwood and dundas,,
mornigside and beath,,
valhalla inn rd and th,,
spadina and lonsdale,43.6885652,-79.4124002
martin grove and longb,,
pharmacy and sherwood,,
stephen and berry,,
murray ross and centen,,
van horne and edmonton,,
warden and ashton bee,,
kennedy station- plat,,
balliol st and forman,,
warden and manhattan,,
lawence and pine,,
broadview and bloor,,
bathurst statio,,
york mills and laurend,,
albion west of kipling,,
crescent and mount ple,,
chaplin cres and rosel,,
the west mall and burm,,
cosbourne and coxwell,,
denton and pharmacy bw,,
north queen and kiplin,,
kipling south of norse,,
port union and kingsto,,
greenwood and s of dan,,
middlefield and newmil,,
russell division,,
elleswere and warden,,
melrose and royal york,,
kennedy station (platf,,
highway 427 at highway,,
king and queen (east e,43.6558418,-79.3639126
steeles and quail vall,,
marine parade dr and h,,
davisville and mccord,,
sherway gardens rd an,43.6108782,-79.5541285
black creek division l,,
ovelea and thorncliffe,,
eglinton and brimely,,
burmundsy and eglinton,,
dixon and chetta,,
long branch,43.5920303,-79.5453111
airport rd and bresler,,
greenwin village and e,,
glencairn and shermoun,,
springhurst and duffer,,
jane and exbury / pion,,
parkside and indian va,,
birmley and eglinton,,
kingston and centennia,,
vaughan and eleanor av,,
kingston rd and eglint,,
pharmacy and danforth,,
finch station - 60 bus,,
mt plesant and sherwoo,,
mount pleasant and man,,
brahms and finch,,
kennedy station - layo,,
finch and wollowdale,,
finch and adwick,,
pioneed village statio,,
st clair east and phar,,
lingston and ellesmere,,
avenue and elgin,,
uft scarborough loop (,,
yonge and wedgwood,,
mccowan and nuggett,,
kennedy and cornwalls,,
brimely and huntingwoo,,
runnymede and s of st,,
collinsgrove and lawre,,
danforth and huntingto,,
finch and e of dufferi,,
danforth ave and barri,,
promenade circle and c,,
finch and ancona ( e o,,
49 mabelle,43.6449525,-79.5286119
university avenue,43.6595697,-79.3902143
front and berkeley,,
lawrence and green cre,,
danforth and magnolia,,
weston and york,43.7015186,-79.5217548
bloor and s kingsway,,
south service rd and e,,
dufferin and roger,,
lumsden and cedarvale,,
sheppard east and brec,,
old weston and directo,,
sheppard east and arag,,
lawrence east and phar,,
coxwell and gerard,,
pape and pepler,,
60 pleasant boulevard,43.6877735,-79.39151
kingston road loop,,
dixon and mcmanus,,
colins and sheppard,,
allen and lawrence,,
broadview and wolfrey,,
the bridle path and la,,
midland and steeeles,,
southwood and glen ste,,
victoria and farm gree,,
greenwin village and,,
950 kipling avenue,43.6375325,-79.5356041
woodbine and sammon,,
93 claireville drive,43.7407171,-79.6258788
royal york and new cas,,
don mills and cliffwo,,
westway and callowhill,,
st regis and st regis,,
queensway and parkside,,
kingston and sheppard,,
eglinton west and scar,,
brian and van horne,,
137 the west mall,43.6281037,-79.5589488
all garages,,
sunnybrook hosptial,,
islington station ',43.6448459,-79.5245113
rouge hill go statin,,
craigton dr and rannoc,,
meadowvale and zoo lo,,
eglinton east and beac,,
torbarrie and oakdale,,
ellesmere and muribank,,
sheppard east and laps,,
humbrwood and morning,,
kennedy and highglen,,
finch west and topclif,,
overlea and morgan,,
brownslinbe and horner,,
st clair and inglewood,,
warden and sylia,,
hwy 427 and renforth,,
339 bloor street west,43.6671215,-79.4008503
uoft loop (military tr,,
signal hill and strein,,
sewells and empringham,,
finch west and goldfin,,
queensway and the east,,
king and richmond,,
humberwood and humberw,,
castleton and st clair,,
yonge and duplex,,
rglinton station,,
north service rd kenne,,
passmore and moringsid,,
arcot rd and tandridge,,
eglinton and avenue rd,,
pape,43.6799212,-79.3449046
eastern and leslie,,
bayview and valleyanna,,
sheppard west and yong,,
york mills and the don,,
wison and bathurst,,
neilson and finch east,,
hunt club drive and ki,,
sheppard west and john,,
lawrence and west,,
eglinton east and duff,,
st basil the great col,,
wright and plainford,,
islington and finchley,,
glencarin station,,
kipling station - bus,,
scarlett and scarlettw,,
glencairn and briar hi,,
viking and kipling,,
sheppard and yonge (we,,
avoca and mount pleasa,,
nighstar and pogonia,,
steeles and palm gate,,
eglinton and tarlton,,
steeles and shale,,
mccowan and steeles (n,,
canada blvd loop,,
college park south,43.6594639,-79.3823756
elm and elizabeth,,
cosbourne and woodmoun,,
greenwich and bathurst,,
markham s of steeles,,
ellesemere and midland,,
kingston rd and poplar,,
dvp and winford,,
lakeshore gargae,,
highland creek and old,,
beechgrove and coronat,,
morning star and colle,,
dennison and wynford,,
finch and morninside,,
midland and rural,,
sentinel and frederick,,
consumer and victoria,,
5300 explorer- shuttle,,
queens quay w and rees,,
dixion and royal york,,
steeels loop,,
commerce and transitwa,,
398e danforth rd,43.70548,-79.27116
univrsity of toronto,,
steeles and fernmar,,
kiping and lakeshore,,
victoria and pawnee,,
eglintonstation,,
35 quebec avenue,43.65386,-79.46689
kenneddy and treverton,,
high park and s of dun,,
jarvis and front,,
keele and bechborough,,
queens plate and hwy 2,,
sheppard and twyn,,
neilson and n of shepp,,
wellesley and queen pa,,
steeles and hornchurch,,
spadina and front,,
225 port union road,43.786509,-79.139368
ancaster and powell,,
lakeshore and e of kip,,
chaplin and oriole pkw,,
kingston road and gall,,
wilson between corneli,,
sherway garden mall,,
don lake bathurst,,
yonge and queen quay,,
yone and bloor,,
wilson and duvray,,
victoria park and ste,,
davenport and ossngton,,
ellesmere and gander,,
25 oxbow road,43.7492711,-79.3800464
staine and siskin,,
king and river,,
avenue and prince arth,,
strathmore and cedarva,,
24 howard moscoe way,43.77669,-79.50873
walmer and davenport,,
2676 bloor street west,43.6440748,-79.5259349
stong and driftwood,43.7617982,-79.5168704
jarvis and the espland,,
albion and carrier dr,,
airport rd and jetline,,
weston and oak st,,
willowdale and newton,,
yonge and mel last man,,
st. clair and brimley,,
kipling and jutland,,
west service and alban,,
u of t bus loop at mil,,
rogue hill loop,,
bellamy and progress,,
dufferin and croatia (,43.6588308,-79.4362983
evans and garroch,,
eglinton and lloyd man,,
york mills station at,,
willowdale and wedgewo,,
princess and front,,
princes' and newfoundl,,
glencairn and glen par,,
ellesmere and mornelie,,
bathurst and front,,
kenmark and kennedy,,
airport rd and 409,,
carlaw and commisoners,,
danforth and dunston,,
wilson and montana,,
davenport and bellmont,,
harbour and ossington,,
bathurst and townsgate,,
hroner and edilou,,
uoft scarborough,,
warden and s of st cla,,
steele and yonge,,
steeles between yonge,,
st clair & kennedy,43.7178405,-79.2552213
kipling and hunting ri,,
uoft scarborough loop,,
steeles and laureleaf,,
mcnioll and warden,,
yonge and lawance,,
ormont and weston road,,
portland and wellingto,,
elmhurst and tayrow,,
coxwell between sammon,,
391 alliance ave,43.67722,-79.48499
o'conner and beechwood,,
corporate and progress,,
finch and black bird,,
berkley and front,,
dawes and taylor creek,,
kingston and sand down,,
old forest hill and eg,,
st. clair and paxton,,
eglinton and hilltop r,,
30 nipigon ave,43.79789,-79.41761
markhram and ellesmere,,
neptune and rajah,,
st clair w and maripos,,
steeles and state crow,,
victoria park and con,,
hwy 27 and finch,,
avenue and elwood,,
o'connor and donlands,,
earlscourt loop (lansd,,
lawrence and park lane,,
weston and chruch,,
wicksteed and beth nea,,
the queenaway and kipl,,
ferris and cedarcrest,,
danforth avenue and wa,,
steeprock drive and ch,,
jane and solkes,,
weston and rogers rd,,
marlee eglinton,43.7090852,-79.4439415
2423 keele st,43.7108344,-79.4781522
hwy 427 and burnhamth,,
50 cordova,43.647102,-79.5264209
huntington and birchmo,,
sherbourne and ancroft,,
jameson and queen,,
military trail and mea,,
south drive and glenn,,
rogers and propect cem,,
kipling stataion,,
rogers and bicknall,,
humberwood loop - 19:3,,
bloor and huimber rive,,
3080 dufferin st,43.7148883,-79.4557406
front and pricess,,
ameer and sultana,,
keele and toror,,
mccowan and pitfield,,
danforth - carlaw to,43.6782598,-79.3471302
sheppard and longmore,,
denton and pharmacy,,
st clair and welland,,
north york general hos,,
sweeney and wyndcliffe,,
warden station and st,,
wilson an clayson,,
lakeshore and dvp,,
neilson and wickson,,
uoft military trail lo,,
vaughn and jesmond,,
819 bathurst st,43.66618,-79.41129
victoria park and home,,
mcpherson and spadina,,
389 birchmount rd,43.7024534,-79.2660536
morningside and nielso,,
keele and mapleaf,,
dumford and rylander,,
bloor and tremount,,
15 sewells,43.8066985,-79.217109
nielson and tapscott,,
pritchard and batavia,,
humbner college bus te,,
castleton and henriett,,
