location,location_id
SH AND SHERWAY GARDENS,619
AND GLEN,620
ELLESMERE STATION AND KENNEDY,621
DUFFERIN AND ST CLAIR STATION,622
EGLI AND TRANSWAY CRES,623
BROWNS LINE AND EVANS,624
BILLINGHAM AND DUNDAS,625
BATHURST AND ROSELAWN,626
OAK AND WESTON,627
HILDA AND STEELES,628
MALL AND QUEENSWAY,629
FROST AND REXDALE,630
BERRY AND GREENMOUNT,631
CENTENNIAL COLLEGE STATION LOO,632
16TH AND WARDEN,633
BAY AND SCOLLARD,634
FINCH AND WILFRED,635
HARRISON AND OSSINGTON,636
BRIMLEY AND KINGSTON,637
GUILDWOOD,638
OLD WESTON AND STEELES,639
TRANSIT AND WILSON,640
DUPONT STATION AND LANSDOWNE,641
DUFFERIN AND ROGERS,642
AND EVA AND BROWNSLINE,643
BATHURST AND VIEWMOUNT,644
AUGUST AND DANFORTH,645
EDEN VALL AND EGLINTON,646
SCHOLES AND STEELES,647
FINCH AND TANGIERS,648
GRENOBL AND SPANBRIDGE,649
AVON LOOP WESTON,650
ROXBOROUGH AND YONGE,651
WELLESLEY STATION AND YONGE,652
COLBECK AND JANE,653
LAWRENCE STATION AND YONGE,654
BLOOR AND YONGE,655
BATHURST AND CEDARCROF,656
KINGSTON AND SOUTHWOOD,657
DANFORTH AND WARDEN STATION,658
FINCH STATION AND FINCHDENE,659
ISLINGTON AND RATHBURN,660
BURNHAMTHORPE AND RENF,661
ONTARIO AND PRINCES,662
AND ST CLAIR STATION WEST STATION,663
BRIDGEPOINT HOSPITAL,664
CELESTINE AND DIXON,665
ALLEN AND WILLIAM,666
FINCH STATION AND MORNINGSIDE,667
WILLIAMS ABND WINEVA,668
DENISON AND MCCOWAN,669
EGLI AND SERVICE,670
ISLINGTON AND STEELES,671
NAIRN AND ROGERS,672
FINCH AND W DON MILLS STATION,673
KIDRON VAL AND KIPLING,674
EXHIBITION LOOP,675
GLENRID AND YORK MILLS,676
CONSILIU AND CORPORATE,677
CARLAW AND DUNDAS STATION,678
CONSILIUM AND CORPORAT,679
BRIMLEY AND ELLESMERE STATION,680
PAPE AND SAMMON,681
WILSON STATION UPPER,682
DUFFERIN AND DUFFERIN STATION P,683
ELLESM AND MORNINGSIDE,684
BAYVIEW AND EGLINTON,685
OAKWOOD AND ST CLAIR STATION,686
ELLESMERE AND VICTORIA,687
COSBURN AND PAPE STATION,688
BATHURST AND GLENGROVE,689
EGLINTON AND LAIRD,690
CHERRY AND COMMISIONER,691
KING STATION AND VICTORIA PARK,692
BATHURST AND BAYCREST,693
COSBURN AND WOODBINE STATION,694
BAKERSFI AND ST REGIS,695
LAWRENCE STATION AND MCCOWAN,696
CARLINGVIEW AND INTERN,697
BLEECKER AND WELLESLEY,698
BERGAMOT AND REXDALE,699
BROADVIEW STATION AND GERRARD,700
MCCOWAN AND STEELES,701
KINGSTON AND MEADOWVAL,702
B AND GREENWIN VILLAGE,703
SHEPPARD AND YONGE,704
BUSHBY AND MCCOWAN,705
DONCLIFFE LOOP,706
CLENDENAN AND DUNDAS,707
EGLINTON AND MARTIN GR,708
MC N AND VICTORIA PARK,709
TEMP AND VICTORIA PARK,710
ISLINGTON AND LAKESHOR,711
MARLEE AND WHITMORE,712
THE E MALL AND VALH,713
TEMPO AND VICTORIA,714
DUNDAS AND RONCESVALLE,715
MILLIKEN,716
BLOOR AND ISLINGTON,717
DRAY AND VICTORIA PARK,718
BAMBURG AND WARDEN,719
SHERBOURNE AND SHUTER,720
COMMISSIONER AND SAULT,721
BERGAMOT AND ISLINGTON,722
MA AND THE BRIDAL WALK,723
DUPONT STATION AND OSSINGTON,724
BATER AND BROADVIEW,725
EGLINTON AND LESLIE,726
ST CLAIR STATION AND VAUGHAN,727
BINGHAM LOOP,728
FINCH AND TORRESDALE,729
BROADVIEW AND PRETORIA,730
BATHURST STATION AND ST CLAIR,731
MIDLAND AND ROMULUS,732
MILLWOOD AND OVERLEA,733
AUCKLAND AND DUNDAS STATION,734
GLAMORGAN AND KENNEDY,735
MARTIN GROVE AND REXDALE,736
EMBLEM AND MIDLAND,737
BRIMLEY AND ELLESMERE,738
LAKE SHORE AND MIMICO,739
KIPLING AND WARNICA,740
LAWRENCE AND ROUGE HIL,741
CARLAW AND COMMISSIONE,742
DIXON AND ROYAL YORK STATION,743
NEWTON AND YONGE,744
DUNDAS STATION ST W AND EAST,745
ALNESS AND FINCH,746
NORTHGATE D AND WILSON,747
DON MIL AND FRESHMEDOW,748
ISLINGTON STATION STATIOM,749
FINCH AND WESTON,750
TORONTO TRANSIT COMMIS,751
MARTIN GROVE AND RACIN,752
HWY 27 AND QUEEN STATION S,753
EGLINTON AND MALL,754
HUMBER AND HUMBER COLLEGE,755
EGLINTON AND WARDEN STATION,756
FINCH AND ISLINGTON STATION,757
DANFO AND EGLINTON,758
HUMBER AND HWY 27,759
KENNEDY AND ST CLAIR STATION,760
DOCKSIDE AND QUEEN STATION QU,761
FOURTEENT AND MCCOWAN,762
CLYDE AND WILSON,763
OVERLEA AND THORNECLIF,764
BARKDENE HILLS AND BRO,765
FINCH STATION AND WESTON,766
PLEASANT AND YONGE,767
HURONIA AND MCCOWAN,768
DON MILLS AND LAWRENCE STATION,769
DUPLEX AND LAWRENCE,770
FINCH AND PEARLDALE,771
WALSH AND WESTON,772
SHEPPARD AND WILSON STATION HE,773
MARKHAM AND MILNER,774
SANDOVE AND YORK MILLS,775
DUFFERIN AND ROWAN,776
ELLESMERE AND PARKINGT,777
DORCOT AND MIDLAND,778
BLOOR AND KENNEDY,779
DON MILLS AND FRESHMEA,780
DANFORTH AND GREENWOOD,781
HWY 400 AND STEELES,782
ST CLAIR STATION WEST STATION,783
MCCORMACK AND WESTON,784
LANSDOWNE AND WADE,785
EVANS,786
LAWRENCE AND VIA BAGNA,787
EGLINTON AND SCARLETT,788
BAYVIEW AND FINCH STATION,789
DUFFERIN AND GLENCAIRN STATION,790
SCARBOROUGH CENTER STATION,791
EGLINTON AND KIPLING,792
HARTFIE AND ROYAL YORK,793
HARBOARD AND OSSINGTON,794
AVON AND WESTON,795
STEELES AND WARDEN,796
MARTIN AND THE WESTWAY,797
BLOOR AND CLENDERMAN,798
MARTIN AND TOLLINGTON,799
LESLIE AND YORK MILLS STATION,800
LAWRENCE STATION,801
FERNDALE AND ST CLAIR,802
MARTIN GROVE AND W H,803
KEELE AND WILSON STATION,804
IVOR AND YONGE,805
