stop_id,stop_name,stop_lat,stop_lon
701,Yonge St at Woodlawn Ave East,43.683811,-79.392236
703,Judson St at Horner Ave,43.612349,-79.515013
705,1138 Bathurst St,43.675365,-79.415294
706,Victoria Park Ave at Woodale Ave,43.683422,-79.285188
710,Dixon Rd at Tamarack Cir,43.698427,-79.539973
711,Military Trail at Bobmar Rd,43.782638,-79.177488
714,McCowan Rd at 14Th Ave,43.849399,-79.279883
717,Sheppard Ave East at Kennedy Rd,43.783432,-79.288075
718,Islington Ave at Rathburn Rd South Side,43.662127,-79.531147
723,Kingston Rd at Lawrence Ave East,43.767363,-79.189589
724,Bayview Ave at Ruddington Dr,43.787893,-79.392586
725,Kennedy Rd at Perthshire St,43.809073,-79.300661
727,Victoria Park Ave at Eglinton Ave East,43.724094,-79.302236
731,Port Union Rd at Clappison Blvd,43.7815,-79.137591
736,Steeles Ave East at Tarbert Rd,43.804084,-79.392106
739,Sheppard Ave West at Yeomans Rd East Side,43.754366,-79.443496
740,Belfield Rd at C.N. West Spur,43.699972,-79.583628
742,Cordova Ave at Central Park Roadway,43.647886,-79.52675
743,Warden Ave at Glencove Dr,43.859654,-79.334719
744,Foxwell St at Jane St,43.671507,-79.493975
746,Kingston Rd at Fenwood Heights West Side,43.727383,-79.230088
747,Sheppard Ave West at Wilson Heights Blvd East Side,43.751748,-79.4556
748,Eglinton Ave East at Mt Pleasant Rd,43.708536,-79.389991
749,McCowan Rd at Commander Blvd North Side,43.796506,-79.261528
752,1111 Finch Ave West,43.767047,-79.474414
755,Weston Rd at Coronado Crt,43.740185,-79.539566
756,Dixon Rd at Kipling Ave,43.694487,-79.558316
761,McCowan Rd at 14Th Ave North Side,43.850231,-79.279673
763,Lawrence Ave East at Ben Stanton Blvd East Side,43.756956,-79.238185
767,Dixon Rd at Kipling Ave,43.694072,-79.558873
768,Jane St at Sheppard Ave West South Side,43.738911,-79.513248
770,Don Mills Rd at Seneca Hill Dr,43.790373,-79.354328
772,Gary Dr at Langside Ave,43.711073,-79.518539
774,Islington Ave at Rathburn Rd,43.662257,-79.530948
777,Albion Rd at Martin Grove Rd,43.742028,-79.593932
779,Islington Ave at Van Dusen Blvd,43.641412,-79.521937
780,Pape Ave at Mortimer Ave,43.685846,-79.347563
781,Tuscan Gate at St Regis Cres (South) South Side,43.75402,-79.483974
782,Markham Rd at Markanna Dr,43.740623,-79.217674
789,Humberwood Blvd at Arborwood Dr,43.723541,-79.618849
792,80 Progress Ave,43.771997,-79.275892
794,Dufferin St at Alma Ave,43.644682,-79.429661
796,Eglinton Ave West at Lascelles Blvd East Side,43.705641,-79.403202
797,Lawrence Ave East at Opposite Cedarbrae Mall,43.758785,-79.230855
798,Morningside Ave at Ellesmere Rd,43.785187,-79.193109
800,Sheppard Ave East at Brimley Rd East Side,43.787581,-79.267739
802,Bayview Ave at Fifeshire Rd (South) South Side,43.75459,-79.385637
806,Steeles Ave East at Victoria Park Ave West Side,43.815581,-79.342165
808,Main St Markham North at Highway 7,43.873549,-79.259546
811,Lawrence Ave East at Manse Rd East Side,43.770643,-79.175848
817,Runnymede Rd at Maher Ave,43.662105,-79.480571
820,Steeles Ave East at McCowan Rd,43.830837,-79.275525
821,Islington Ave at Fordwich Cres,43.727108,-79.560871
822,Old Kingston Rd at Military Trail,43.782122,-79.172674
824,Lawrence Ave West at Royal York Rd,43.696286,-79.532489
825,345 Morningside Ave,43.775468,-79.18886
827,Lawrence Ave East at Underhill Dr,43.740918,-79.324491
829,Major Mackenzie Dr East at McCowan Rd,43.903281,-79.293772
830,Sheffield St at Hafis Rd,43.706257,-79.47105
834,Ellesmere Rd at Calthorpe Ave,43.788586,-79.180524
835,Harbord St at Brunswick Ave,43.662181,-79.406126
836,Sheppard Ave East at Palmdale Dr,43.77783,-79.311293
841,Victoria Park Ave at Curlew Dr South Side,43.747467,-79.311799
843,Steeles Ave East at Mountcastle Gate,43.820394,-79.320622
845,Steeles Ave West at Founders Rd - York University,43.779428,-79.504234
849,Bathurst St at Covington Rd,43.721136,-79.430335
852,Warden Ave at Sheppard Ave East,43.77887,-79.308173
853,Kennedy Rd at Norcap Ave,43.797157,-79.294171
856,Bayview Ave at Lawrence Ave East - York University Glendon C,43.727267,-79.381567
860,North Queen St at Nova Rd,43.616293,-79.557141
862,3292 Bayview Ave,43.789946,-79.393248
864,Shaw St at Adelaide St West,43.642626,-79.415367
866,Kennedy Rd at Antrim Cres South Side,43.771331,-79.283286
869,Runnymede Rd at Webb Ave,43.658554,-79.479255
873,Lawrence Ave East at Centennial Rd,43.777575,-79.145968
876,Eglinton Ave West at Walkway to Emmett Ave,43.684593,-79.508136
878,Finch Ave East at Maxome Ave,43.783459,-79.399176
879,East Ave at Clark Secor Pl North Side,43.78995,-79.135406
882,209 Carrier Dr,43.747234,-79.615107
884,Wilson Ave at King High Ave,43.735702,-79.442466
885,Sheppard Ave West at Jane St,43.73919,-79.513494
887,Davisville Ave at Acacia Rd,43.699932,-79.389138
889,Gervais Dr at Wynford Dr South Side,43.723081,-79.336445
891,Kipling Ave at Hinton Rd,43.725707,-79.573246
893,Kipling Ave at Westhumber Blvd,43.72821,-79.574872
895,Progress Ave at Roadway to Centennial College,43.783526,-79.231618
897,St Clair Ave East at Midland Ave,43.71894,-79.251064
898,150 Staines Rd West Side,43.822964,-79.219024
901,Islington Ave at Summitcrest Dr,43.683282,-79.540697
907,Warden Ave at Eglinton Ave East North Side,43.728424,-79.287699
908,Finch Ave East at Yonge St - Finch Station,43.780191,-79.414106
909,Royal York Rd at Yorkleigh Ave,43.694162,-79.531677
910,Yonge St at Lytton Blvd,43.716726,-79.400585
911,McCowan Rd at Alton Towers Cir (South),43.822377,-79.273762
914,Jane St at Firgrove Cres (North) South Side,43.754548,-79.517122
916,Islington Ave at Albion Rd,43.7377,-79.565693
920,Bayview Ave at Blythwood Rd South Side,43.720431,-79.378945
921,Don Mills Rd at Green Belt Dr North Side,43.727486,-79.340618
925,Jane St at Exbury Rd North Side,43.729646,-79.510597
927,Steeles Ave East at Townsend Rd West Side,43.811939,-79.358022
928,Wilson Ave at Julian Rd West Side - Humber River Hospital,43.724669,-79.491492
930,Keele St at Lawrence Ave West,43.708825,-79.478254
937,Don Mills Rd at The Donway East (South) North Side,43.732636,-79.342026
938,Neilson Rd at Crow Trail,43.812353,-79.225946
943,Eglinton Ave East at Banff Rd,43.710122,-79.38211
946,Oakwood Ave at Rosemount Ave,43.678178,-79.435399
947,Sheppard Ave East at Boydwood Lane,43.80462,-79.15811
950,Arleta Ave at John Lindsay Crt,43.745902,-79.502119
952,Dundas St West at Windermere Ave,43.665544,-79.48605
954,Keele St at Rustic Rd,43.717966,-79.480244
955,Yonge St at Lord Seaton Rd South Side,43.752127,-79.408292
957,Yonge St at King St West - King Station,43.649249,-79.378022
959,Steeles Ave East Loop,43.798341,-79.417889
960,Lake Shore Blvd West at Thirty Seventh St,43.593494,-79.537978
963,Steeles Ave East at Walkway to Norn Cres,43.832317,-79.270029
964,Warden Ave at Walbon Rd,43.739791,-79.292609
966,Yonge St at Yonge Blvd South Side,43.733994,-79.404613
967,145 Carrier Dr,43.741627,-79.613925
975,Oak St at Weston Rd East Side,43.707912,-79.53278
978,Runnymede Rd at St John's Rd,43.663697,-79.48124
979,Steeles Ave West at Dufferin St,43.787469,-79.469755
980,Lawrence Ave West at Benton Rd,43.710536,-79.471373
982,Eglinton Ave East at Kennedy Rd,43.732413,-79.267746
988,Eglinton Ave West at Jimmy Wisdom Way,43.696414,-79.447135
989,St Clair Ave East at Kennedy Rd,43.716705,-79.261083
999,Sheppard Ave East at Kennedy Rd,43.783046,-79.288704
1001,685 Finch Ave West,43.770935,-79.456814
1002,McCowan Rd at Coleraine Ave,43.838225,-79.276865
1003,Lawrence Ave East at Carnforth Rd,43.741633,-79.31401
1004,Hullmar Dr at Gosford Blvd,43.761854,-79.521309
1012,Driftwood Ave at Stong Crt,43.762084,-79.51697
1013,Finch Ave East at Kennedy Rd,43.801487,-79.29616
1014,Victoria Park Ave at Danforth Ave,43.691357,-79.288525
1017,Steeles Ave East at Laureleaf Rd,43.805432,-79.385852
1019,Yonge St at Queen St East - Queen Station,43.652319,-79.379085
1021,Overlea Blvd at Thorncliffe Park Dr (East) West Side,43.707457,-79.344198
1022,Birmingham St at Eighth St,43.602865,-79.507664
1025,Kingston Rd at Manderley Dr,43.688668,-79.269367
1032,Bayview Ave at The Bridle Path,43.738356,-79.382163
1034,Kennedy Rd at Bellbrook Rd,43.798949,-79.294947
1035,Finch Ave W at Virgilwood Dr West Side - North York General,43.772898,-79.448603
1036,Dufferin St at Glencairn Ave,43.706896,-79.453031
1037,Victoria Park Ave at Valdane Dr,43.718598,-79.299971
1038,Victoria Park Ave at Cassandra Blvd,43.754442,-79.314192
1039,Finch Ave East at Baylawn Dr,43.803284,-79.28868
1041,Jane St at Patika Ave,43.705192,-79.504228
1042,Kingston Rd at Military Trail,43.781393,-79.169994
1048,Opposite 636 Finch Ave East (Plaza),43.787498,-79.380413
1049,Markham Rd at Finch Ave East,43.812817,-79.242767
1050,Yonge St at Empress Ave - North York Centre Station,43.769149,-79.4127
1051,Islington Ave at Ridgevalley Cres North Side,43.67211,-79.535377
1053,Finch Ave East at Baylawn Dr,43.803004,-79.289136
1054,Wilson Ave at Faywood Blvd East Side,43.734763,-79.445833
1059,Steeles Ave West at Founders Rd East Side - York University,43.779212,-79.503758
1060,Royal York Rd at Lynngrove Ave,43.651466,-79.513239
1063,Ridgecrest Rd at Wiltshire Dr,43.89876,-79.303632
1066,3325 Warden Ave,43.814261,-79.324383
1069,Lawrence Ave East at Burnview Cres West Side,43.756528,-79.241423
1070,Kingston Rd at Fenwood Heights,43.727269,-79.229715
1071,Ossington Ave at Churchill Ave,43.652123,-79.421898
1073,Opposite 150 Culford Rd,43.705192,-79.487147
1075,Sheppard Ave West at Arrow Rd,43.735485,-79.529638
1077,Bathurst St at Shelborne Ave,43.716134,-79.429129
1079,Weston Rd at Kenhar Dr,43.761598,-79.544474
