route,location_id
11,18203
11,18275
11,18364
11,18596
11,18932
11,19164
11,19174
11,19523
11,19626
11,19761
11,19783
11,19908
11,19933
11,20028
11,20060
12,1
12,2
12,3
12,12
12,15
12,18
12,28
12,34
12,48
12,53
12,66
12,67
12,86
12,89
12,109
12,113
12,171
12,178
12,280
12,299
12,327
12,341
12,344
12,347
12,372
12,383
12,392
12,428
12,439
12,455
12,457
12,469
12,478
12,495
12,511
12,578
12,586
12,596
12,611
12,632
12,637
12,645
12,658
12,670
12,684
12,692
12,696
12,728
12,801
12,809
12,848
12,851
12,852
12,885
12,904
12,938
12,940
12,947
12,951
12,987
12,1010
12,1025
12,1037
12,1042
12,1047
12,1048
12,1069
12,1205
12,1294
12,1320
12,1362
12,1407
12,1510
12,1543
12,1559
12,1563
12,1589
12,1596
12,1609
12,1636
12,1640
12,1696
12,1715
12,1735
12,1741
12,1793
12,1808
12,1887
12,1908
12,1936
12,1973
12,2006
12,2018
12,2031
12,2199
12,2265
12,2303
12,2316
12,2318
12,2374
12,2427
12,2487
12,2523
12,2744
12,2815
12,2827
12,2835
12,2840
12,2844
12,2848
12,2930
12,2948
12,2959
12,2960
12,2986
12,3077
12,3132
12,3136
12,3183
12,3188
12,3222
12,3255
12,3322
12,3340
12,3391
12,3525
12,3570
12,3576
12,3609
12,3928
12,4056
12,4060
12,4091
12,4122
12,4137
12,4193
12,4227
12,4231
12,4307
12,4314
12,4353
12,4410
12,4500
12,4513
12,4708
12,4770
12,5059
12,5114
12,5210
12,5263
12,5284
12,5336
12,5354
12,5394
12,5520
12,5649
12,5659
12,5668
12,5821
12,5892
12,6039
12,6068
12,6312
12,6424
12,6445
12,6448
12,6499
12,6638
12,6900
12,6902
12,6991
12,7065
12,7106
12,7165
12,7174
12,7372
12,7521
12,7757
12,7921
12,8148
12,8180
12,8322
12,8362
12,8433
12,8554
12,8588
12,8754
12,8956
12,9042
12,9056
12,9226
12,9296
12,9387
12,9482
12,9610
12,9659
12,9743
12,9769
12,9983
12,10018
12,10111
12,10134
12,10284
12,10344
12,10352
12,10389
12,10607
12,10612
12,10613
12,11112
12,11116
12,11143
12,11158
12,11539
12,11585
12,11664
12,11752
12,11759
12,12180
12,12270
12,12312
12,12637
12,12683
12,12902
12,12937
12,13222
12,13291
12,13349
12,13510
12,13566
12,13695
12,13728
12,13755
12,13798
12,13831
12,14041
12,14392
12,14473
12,14734
12,15103
12,15127
12,15563
12,15770
12,15784
12,16078
12,16999
12,17012
12,17149
12,17262
12,17871
12,18245
12,18739
12,19064
12,19114
12,19129
12,19439
12,19458
12,19562
12,20011
12,20021
24,1
24,3
24,11
24,12
24,18
24,47
24,48
24,53
24,55
24,60
24,66
24,78
24,89
24,92
24,95
24,101
24,126
24,143
24,168
24,173
24,206
24,221
24,227
24,232
24,245
24,258
24,268
24,285
24,299
24,320
24,327
24,386
24,412
24,414
24,495
24,574
24,603
24,611
24,637
24,709
24,710
24,714
24,718
24,728
24,780
24,796
24,809
24,834
24,835
24,852
24,873
24,901
24,962
24,963
24,1017
24,1037
24,1041
24,1044
24,1097
24,1100
24,1126
24,1246
24,1250
24,1262
24,1282
24,1287
24,1329
24,1359
24,1362
24,1407
24,1420
24,1431
24,1453
24,1474
24,1589
24,1594
24,1614
24,1631
24,1638
24,1685
24,1696
24,1699
24,1701
24,1707
24,1908
24,1996
24,2045
24,2067
24,2069
24,2077
24,2122
24,2140
24,2265
24,2274
24,2276
24,2282
24,2286
24,2303
24,2374
24,2383
24,2387
24,2393
24,2417
24,2427
24,2441
24,2457
24,2459
24,2487
24,2506
24,2530
24,2542
24,2674
24,2780
24,2903
24,2911
24,2916
24,2967
24,3006
24,3232
24,3241
24,3279
24,3296
24,3338
24,3395
24,3443
24,3448
24,3450
24,3462
24,3506
24,3575
24,3668
24,3766
24,3834
24,4053
24,4060
24,4267
24,4345
24,4513
24,4631
24,4637
24,4716
24,4717
24,4799
24,4863
24,5004
24,5044
24,5071
24,5099
24,5103
24,5136
24,5147
24,5249
24,5451
24,5456
