trip_id,route_id,route_short_name,route_long_name,route_color,route_text_color,direction_id,scheduled_hour,dir_E,dir_N,dir_S,dir_W,dir_UNKNOWN
26111020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
23975020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
3559020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
16212010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
35639010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
1632080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
25736020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
16358080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
35023020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
27088010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
25460080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
18774020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
34744020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
23179020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,5,0,1,0,0,0
25493010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
23230070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
31616080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
15144020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
31632020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
2364020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
31718080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
27324080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
23016010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
27344020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
29506020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
19158010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
21667070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
27771010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
21946080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
1966020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
22370080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
28189070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
22687080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
20038010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
21533080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
42533010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
14035070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
32817080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
22257010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
32635010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
20331070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
33186080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
20421080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
38789020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
20426020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
2940010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
20437020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
3228020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
13070080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
3230020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,5,0,1,0,0,0
20506010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
37115070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
20516070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
34530010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
130793070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
373080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
130803020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
37391010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
130848010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
47257080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
24869020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
